star_system_id,system_name,right_ascension,declination,parallax,distance
1,Sol,0,0,0,0
2,Alpha Centauri,219.8738331,-60.83222194,754.81,4.321034433
3,Barnard's Star,269.4520825,4.693364265,547.4506,5.95772477
4,Luhman 16,162.328812,-53.319467,500.51,6.516473197
5,WISE 0855-0714,133.79512,-7.24514,448,7.280267857
6,Wolf 359,164.1201092,7.01454,413.13,7.894754678
7,Lalande 21185,165.8341417,35.96988004,392.64,8.306744091
8,Sirius,101.2871553,-16.71611586,379.21,8.60093352
9,Luyten 726-8,24.755006,-17.950739,375,8.697493333
10,Ross 154,282.4556825,-23.8362371,336.1228,9.70347742
11,Ross 248,355.4793172,44.17745144,316.9558,10.2902676
12,Epsilon Eridani,53.23268735,-9.458258657,310.94,10.48935486
13,Lacaille 9352,346.4668144,-35.85307188,304.219,10.72109237
14,Ross 128,176.9349869,0.804556925,296.3073,11.00735621
15,EZ Aquarii,339.6399,-15.2999325,293.6,11.10885559
16,61 Cygni,316.7247484,38.74941584,285.9459,11.40621355
17,Procyon,114.8254979,5.22498756,284.56,11.46176553
18,Struve 2398,280.6946036,59.63039216,283.9489,11.48643295
19,Groombridge 34,4.595354028,44.0229548,280.6902,11.6197858
20,DX Cancri,127.4556368,26.77600744,279.2901,11.67803656
